Ensembl_id	log2FoldChange	
ENSG00000154265	-1.524431387	
ENSG00000250208	1.943565476	
ENSG00000170476	4.430224203	
ENSG00000131067	-2.44403357	
ENSG00000106809	3.470276061	
ENSG00000162739	3.35053068	
ENSG00000104324	1.74878321	
ENSG00000224389	2.95544892	
ENSG00000204136	2.372215458	
ENSG00000126709	2.263625738	
ENSG00000100079	4.766306676	
ENSG00000138496	1.736168453	
ENSG00000124203	3.547859044	
ENSG00000112297	2.599849054	
ENSG00000172215	5.069817445	
ENSG00000169442	3.185480339	
ENSG00000198300	2.21858832	
ENSG00000168389	3.007728204	
ENSG00000161921	2.204388222	
ENSG00000254709	5.475820194	
ENSG00000165548	3.398913108	
ENSG00000165949	2.127647029	
ENSG00000151790	4.374750736	
ENSG00000196154	2.5337551	
ENSG00000165025	2.457171534	
ENSG00000166676	3.534437525	
ENSG00000255690	2.079475027	
ENSG00000211598	5.319966782	
ENSG00000099377	1.549657542	
ENSG00000101825	2.93743531	
ENSG00000134323	2.263348235	
ENSG00000219607	1.734644435	
ENSG00000213892	3.456575364	
ENSG00000107821	2.338597116	
ENSG00000152495	3.415241964	
ENSG00000182636	1.708568481	
ENSG00000122694	2.095656275	
ENSG00000204261	1.781520631	
ENSG00000134297	1.708354059	
ENSG00000165457	2.607594032	
ENSG00000174944	2.080399561	
ENSG00000162511	2.577722038	
ENSG00000145861	1.939496266	
ENSG00000167613	2.714558042	
ENSG00000050628	4.527837513	
ENSG00000198846	3.279862385	
ENSG00000182578	2.439327595	
ENSG00000170571	2.802816984	
ENSG00000185811	2.745171686	
ENSG00000166405	-1.694632029	
ENSG00000110448	3.406168072	
ENSG00000170921	1.645759383	
ENSG00000171044	2.349700209	
ENSG00000143344	2.30354221	
ENSG00000130203	2.568829318	
ENSG00000117266	2.306915648	
ENSG00000106003	2.309393208	
ENSG00000039068	4.860030298	
ENSG00000162654	2.101961471	
ENSG00000134955	2.353305245	
ENSG00000172005	2.331046264	
ENSG00000185262	-1.734190033	
ENSG00000205413	1.853921061	
ENSG00000206503	1.822497983	
ENSG00000211772	3.05884982	
ENSG00000134516	2.833357688	
ENSG00000124508	1.820605159	
ENSG00000141293	3.073319874	
ENSG00000184574	2.823273003	
ENSG00000135069	2.480135493	
ENSG00000188060	2.313284617	
ENSG00000140749	3.322486384	
ENSG00000135454	-1.677245738	
ENSG00000241839	1.945223881	
ENSG00000134247	1.663869192	
ENSG00000211651	4.704770673	
ENSG00000092929	-1.551790247	
ENSG00000101265	2.371446603	
ENSG00000051523	2.172352689	
ENSG00000184828	2.087529203	
ENSG00000211934	5.367498165	
ENSG00000143184	5.347826749	
ENSG00000183049	1.882672641	
ENSG00000011600	2.7394848	
ENSG00000211893	4.563792146	
ENSG00000120262	2.769058944	
ENSG00000211662	5.679170662	
ENSG00000110077	2.693456093	
ENSG00000176720	3.2581506	
ENSG00000117091	3.11228415	
ENSG00000197629	2.936396051	
ENSG00000186810	4.079357005	
ENSG00000113263	3.083314285	
ENSG00000168685	2.695587071	
ENSG00000131771	5.412928008	
ENSG00000169504	1.761326478	
ENSG00000105851	2.74445143	
ENSG00000078596	2.022728047	
ENSG00000152207	3.597299264	
ENSG00000119632	2.351794016	
ENSG00000166111	3.399103218	
ENSG00000147443	2.596132232	
ENSG00000169432	2.311338333	
ENSG00000137078	3.485431952	
ENSG00000211666	4.625273366	
ENSG00000134061	3.088578432	
ENSG00000107099	2.289820138	
ENSG00000176771	2.348111897	
ENSG00000117090	3.378912319	
ENSG00000183484	2.564133176	
ENSG00000143119	2.813293639	
ENSG00000161929	3.130118206	
ENSG00000137628	1.618443993	
ENSG00000081237	3.003522513	
ENSG00000186891	2.34356036	
ENSG00000272398	2.982781703	
ENSG00000131401	2.942651646	
ENSG00000144229	3.732820601	
ENSG00000169851	2.451999643	
ENSG00000241755	5.739204776	
ENSG00000133026	1.996892766	
ENSG00000140853	1.814425963	
ENSG00000139626	2.772652895	
ENSG00000013725	3.170826181	
ENSG00000172673	3.646030096	
ENSG00000160307	4.494079659	
ENSG00000185880	1.928947121	
ENSG00000123609	1.606443091	
ENSG00000162636	1.898008574	
ENSG00000203930	4.952354804	
ENSG00000049249	4.401624066	
ENSG00000093072	2.218244629	
ENSG00000165168	2.576084516	
ENSG00000183801	1.998156211	
ENSG00000163694	2.401811989	
ENSG00000008323	4.875289162	
ENSG00000211659	5.907452432	
ENSG00000130810	-1.67433885	
ENSG00000147010	1.849736307	
ENSG00000153707	2.20925	
ENSG00000153446	3.015103825	
ENSG00000261236	-1.611580006	
ENSG00000115267	1.637916147	
ENSG00000117600	3.027041953	
ENSG00000171659	2.647300636	
ENSG00000127152	3.061746633	
ENSG00000180828	2.909192152	
ENSG00000145536	3.143437139	
ENSG00000163508	3.412420969	
ENSG00000198851	3.068750123	
ENSG00000130876	5.257061179	
ENSG00000211660	5.902129222	
ENSG00000128394	2.118929658	
ENSG00000069188	2.979856433	
ENSG00000126860	2.85707126	
ENSG00000186818	3.250580969	
ENSG00000137699	2.687260362	
ENSG00000182866	2.862116558	
ENSG00000100985	4.100743999	
ENSG00000134198	2.149198871	
ENSG00000106819	2.589001648	
ENSG00000134962	5.034221283	
ENSG00000181408	3.694696259	
ENSG00000173372	2.769718786	
ENSG00000135269	1.544671101	
ENSG00000112799	3.143342905	
ENSG00000147138	3.63984678	
ENSG00000089041	2.419492359	
ENSG00000187955	2.679976234	
ENSG00000165511	1.766862748	
ENSG00000180340	2.525665531	
ENSG00000254366	3.878584642	
ENSG00000133106	2.153248602	
ENSG00000169855	1.723135575	
ENSG00000186469	2.314750648	
ENSG00000126264	2.782727188	
ENSG00000225383	5.014618729	
ENSG00000213626	1.687410347	
ENSG00000099194	4.256785103	
ENSG00000172137	5.068884375	
ENSG00000235257	1.922662311	
ENSG00000232629	4.16615435	
ENSG00000227082	2.320527758	
ENSG00000228817	-1.785005548	
ENSG00000272037	-2.370038009	
ENSG00000145649	3.164232333	
ENSG00000259834	3.378017727	
ENSG00000171700	1.873247484	
ENSG00000262484	-1.895924739	
ENSG00000138413	1.807685943	
ENSG00000122188	2.639880884	
ENSG00000177675	2.375726958	
ENSG00000103490	2.209982021	
ENSG00000104894	2.393397989	
ENSG00000102547	1.714747095	
ENSG00000170915	1.797209564	
ENSG00000182487	2.617362002	
ENSG00000121281	2.041913453	
ENSG00000166927	2.404800105	
ENSG00000110876	2.252860424	
ENSG00000260751	-1.516961298	
ENSG00000056291	5.1542181	
ENSG00000159189	2.822942205	
ENSG00000270681	-2.051596435	
ENSG00000197747	1.878646188	
ENSG00000143036	2.705399765	
ENSG00000138207	4.894902963	
ENSG00000056998	4.717718659	
ENSG00000128815	2.687228093	
ENSG00000168394	1.893438701	
ENSG00000135916	1.50590953	
ENSG00000180044	3.18664951	
ENSG00000143196	2.458308174	
ENSG00000125510	1.891390541	
ENSG00000197471	2.443761624	
ENSG00000169896	2.013974383	
ENSG00000109943	3.677108561	
ENSG00000154589	1.998091682	
ENSG00000102271	2.58974265	
ENSG00000105088	3.555261171	
ENSG00000235501	2.272675152	
ENSG00000277443	1.717168541	
ENSG00000211938	5.085672792	
ENSG00000133083	2.193330353	
ENSG00000239855	6.239079793	
ENSG00000262179	3.205787766	
ENSG00000176083	3.829000588	
ENSG00000272732	-1.90527547	
ENSG00000160183	3.312576803	
ENSG00000092621	3.092266905	
ENSG00000211663	5.340874296	
ENSG00000106546	2.132525776	
ENSG00000169403	2.272462719	
ENSG00000159251	3.256224992	
ENSG00000066294	2.413329496	
ENSG00000105251	3.176182063	
ENSG00000096996	2.953515937	
ENSG00000166819	4.514597993	
ENSG00000237773	2.595316356	
ENSG00000165478	4.366751585	
ENSG00000166145	2.6719943	
ENSG00000183023	2.249685112	
ENSG00000100196	2.200655698	
ENSG00000100450	2.977821904	
ENSG00000242265	2.570201218	
ENSG00000188782	-2.617728491	
ENSG00000104951	3.448795574	
ENSG00000102466	2.450798679	
ENSG00000198216	3.763147555	
ENSG00000237499	1.861646795	
ENSG00000136167	2.664751787	
ENSG00000161681	2.910845673	
ENSG00000270550	4.410213647	
ENSG00000266441	2.421483655	
ENSG00000069696	-1.977929102	
ENSG00000219481	1.500925686	
ENSG00000205220	1.575103933	
ENSG00000116299	3.070755661	
ENSG00000206384	3.626195665	
ENSG00000020633	2.394652978	
ENSG00000235944	1.720760663	
